ID,Pilots,PhoneNuber ,Agents,TotalReceipt,OrderDetails,TimeStamp,Zone,LastStatus,Date
20190,Pilot 45,11111111145,Agent 1,138.75,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/7/2021 13:44:57,City 21,,07/01/2021
20189,Pilot 45,11111111145,Agent 2,289.1,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/7/2021 13:38:59,City 1,,07/01/2021
20188,Pilot 45,11111111145,Agent 2,160.45,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/7/2021 13:31:46,City 2,,07/01/2021
20187,Pilot 45,11111111145,Agent 3,32.95,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/7/2021 13:29:13,City 3,,07/01/2021
20186,Pilot 45,11111111145,Agent 4,250.4,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/7/2021 13:28:50,City 1,,07/01/2021
20185,Pilot 45,11111111145,Agent 2,288.8,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/7/2021 13:18:46,City 4,,07/01/2021
20184,Pilot 45,11111111145,Agent 3,358.9,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/7/2021 13:17:42,City 5,,07/01/2021
20183,Pilot 45,11111111145,Agent 4,323.35,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/7/2021 13:08:33,City 3,,07/01/2021
20182,Pilot 45,11111111145,Agent 3,251.3,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/7/2021 13:02:13,City 21,,07/01/2021
20181,Pilot 45,11111111145,Agent 2,200.6,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/7/2021 12:50:32,City 6,,07/01/2021
20180,Pilot 45,11111111145,Agent 5,121.45,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/7/2021 12:46:35,City 7,,07/01/2021
20179,Pilot 45,11111111145,Agent 5,125.55,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/7/2021 12:39:56,City 8,Delivered,07/01/2021
20178,Pilot 45,11111111145,Agent 6,261.7,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/7/2021 12:23:42,City 9,,07/01/2021
20177,Pilot 45,11111111145,Agent 3,257.1,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/7/2021 12:08:55,City 7,,07/01/2021
20176,Pilot 45,11111111145,Agent 5,221.95,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/7/2021 11:56:24,City 21,Delivered,07/01/2021
20175,Pilot 45,11111111145,Agent 6,297.5,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/7/2021 11:50:29,City 6,Delivered,07/01/2021
20174,Pilot 45,11111111145,Agent 5,189.8,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/7/2021 11:45:23,City 6,Delivered,07/01/2021
20173,Pilot 45,11111111145,Agent 6,408.7,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/7/2021 11:38:46,City 4,,07/01/2021
20172,Pilot 45,11111111145,Agent 5,114.8,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/7/2021 11:21:32,City 9,Delivered,07/01/2021
20171,Pilot 45,11111111145,Agent 2,284.15,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/7/2021 11:12:15,City 1,Delivered,07/01/2021
20170,Pilot 45,11111111145,Agent 5,224.75,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/7/2021 11:04:30,City 2,Delivered,07/01/2021
20169,Pilot 45,11111111145,Agent 2,714.45,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/7/2021 10:48:57,City 7,Delivered,07/01/2021
20168,Pilot 45,11111111145,Agent 6,289.65,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/7/2021 10:06:46,City 3,Delivered,07/01/2021
20167,Pilot 45,11111111145,Agent 5,257,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/7/2021 10:01:21,City 10,Cancelled,07/01/2021
20166,Pilot 45,11111111145,Agent 1,251.5,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 21:53:48,City 11,Delivered,06/01/2021
20165,Pilot 45,11111111145,Agent 5,225.65,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 21:19:20,City 2,Delivered,06/01/2021
20164,Pilot 45,11111111145,Agent 5,189.45,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 21:11:17,City 12,Delivered,06/01/2021
20163,Pilot 45,11111111145,Agent 1,550.9,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 21:05:11,City 7,Delivered,06/01/2021
20162,Pilot 45,11111111145,Agent 4,284.4,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 21:02:13,City 13,Delivered,06/01/2021
20161,Pilot 45,11111111145,Agent 4,131,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 20:38:20,City 6,Cancelled,06/01/2021
20160,Pilot 45,11111111145,Agent 7,776,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 20:30:06,City 7,Cancelled,06/01/2021
20159,Pilot 45,11111111145,Agent 5,301.3,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 20:23:03,City 5,Delivered,06/01/2021
20158,Pilot 45,11111111145,Agent 1,303.9,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 20:11:07,City 21,Cancelled,06/01/2021
20157,Pilot 45,11111111145,Agent 1,362.4,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 19:53:26,City 1,Delivered,06/01/2021
20156,Pilot 45,11111111145,Agent 4,388,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 19:48:05,City 12,Delivered,06/01/2021
20155,Pilot 45,11111111145,Agent 4,122.75,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 19:43:09,City 14,Cancelled,06/01/2021
20154,Pilot 45,11111111145,Agent 5,170.4,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 19:32:34,City 2,Delivered,06/01/2021
20153,Pilot 45,11111111145,Agent 5,70.95,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 19:11:52,City 3,Delivered,06/01/2021
20152,Pilot 45,11111111145,Agent 5,261,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 19:09:20,City 2,Delivered,06/01/2021
20151,Pilot 45,11111111145,Agent 8,367.75,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 18:23:37,City 9,Delivered,06/01/2021
20150,Pilot 45,11111111145,Agent 9,162.25,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 18:22:10,City 21,Cancelled,06/01/2021
20149,Pilot 45,11111111145,Agent 4,251.8,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 18:20:26,City 4,Delivered,06/01/2021
20148,Pilot 45,11111111145,Agent 9,177.45,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 18:06:59,City 3,Delivered,06/01/2021
20147,Pilot 45,11111111145,Agent 10,169.6,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 18:00:26,City 3,Delivered,06/01/2021
20146,Pilot 45,11111111145,Agent 11,507.9,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 17:59:56,City 9,Delivered,06/01/2021
20145,Pilot 45,11111111145,Agent 1,677.9,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 17:56:42,City 2,Delivered,06/01/2021
20144,Pilot 45,11111111145,Agent 11,626.35,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 17:53:50,City 9,Delivered,06/01/2021
20143,Pilot 45,11111111145,Agent 10,62.95,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 17:47:46,City 12,Delivered,06/01/2021
20142,Pilot 45,11111111145,Agent 12,305.75,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 17:35:08,City 3,Delivered,06/01/2021
20141,Pilot 45,11111111145,Agent 11,263.4,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 17:31:44,City 15,Delivered,06/01/2021
20140,Pilot 45,11111111145,Agent 5,290.5,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 17:30:10,City 21,Delivered,06/01/2021
20139,Pilot 45,11111111145,Agent 1,330.05,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 17:28:56,City 1,Delivered,06/01/2021
20138,Pilot 45,11111111145,Agent 13,259,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 17:25:33,City 21,Cancelled,06/01/2021
20137,Pilot 45,11111111145,Agent 1,553.15,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 17:18:47,City 11,Delivered,06/01/2021
20136,Pilot 45,11111111145,Agent 13,421.05,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 17:14:16,City 21,Delivered,06/01/2021
20135,Pilot 45,11111111145,Agent 10,210.8,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 17:10:57,City 10,Delivered,06/01/2021
20134,Pilot 45,11111111145,Agent 9,774.3,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 16:49:11,City 16,Delivered,06/01/2021
20133,Pilot 45,11111111145,Agent 1,663.15,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 16:47:55,City 17,Delivered,06/01/2021
20132,Pilot 45,11111111145,Agent 10,114.9,"1-ID : 1234 Description : Item Name Q= Quantity , 2-ID : 2345 Description : Item Name Q= Quantity ,3-ID : 5678 Description : Item Name Q= Quantity ,5-ID : 3456 Description : Item Name Q= Quantity ",1/6/2021 16:47:41,City 11,Cancelled,06/01/2021
